zotero_key,title,doi,year,item_type,doi_url
FI9VUNUG,A Noisy Optimization mechanism for variational quantum classifiers,10.1016/j.knosys.2026.115659,05/2,journalArticle,https://doi.org/10.1016/j.knosys.2026.115659
8D2UBT7G,A Novel Decomposition‐Ensemble Approach for Forecasting Stock Price With Quantum Neural Network and Big Data,10.1002/for.70047,01/2,journalArticle,https://doi.org/10.1002/for.70047
G3J8WQNS,A Quantum Circuit Design for Quantum Portfolio Optimization Problem,10.1109/itc-cscc62988.2024.10628188,2024,conferencePaper,https://doi.org/10.1109/itc-cscc62988.2024.10628188
44NUS8RU,A Quantum Walk Model of Financial Options,10.1002/wilm.10918,2021,journalArticle,https://doi.org/10.1002/wilm.10918
T54YY2EC,A Scalable Quantum Machine Learning Methodology Design for Handling Large-Scale Data Classification and Optimization Principle,10.1109/ICONSTEM65670.2025.11374683,2025,conferencePaper,https://doi.org/10.1109/ICONSTEM65670.2025.11374683
R8RZFVGM,"A Study on Quantum and Classical Simulations for Molecular Systems, Materials Science and Financial Modeling",10.1109/punecon67554.2025.11379349,2025,conferencePaper,https://doi.org/10.1109/punecon67554.2025.11379349
3G4YZJSH,A Testing Pipeline for Quantum Computing Applications,10.1109/QSW59989.2023.00016,7/20,conferencePaper,https://doi.org/10.1109/QSW59989.2023.00016
EA2KAFRT,A Variable-Angle-Distance Quantum Evolutionary Algorithm for 2D HP Model,10.1007/978-3-030-00021-9_30,2018,conferencePaper,https://doi.org/10.1007/978-3-030-00021-9_30
FFPVPF5A,A dual-phase deep learning framework for advanced phishing detection using the novel OptSHQCNN approach,10.7717/peerj-cs.3014,2025,journalArticle,https://doi.org/10.7717/peerj-cs.3014
98WNSE9K,A framework to evaluate the performance of Variational Quantum Algorithms,,2026,journalArticle,
8FJWJ4AA,A quantum feature selection framework via ground state preparation,10.1088/1402-4896/ad0184,2023,journalArticle,https://doi.org/10.1088/1402-4896/ad0184
AHDJ8S33,A quantum neural network with built-in self-attention mechanism,10.1016/j.neucom.2026.132862,2026,journalArticle,https://doi.org/10.1016/j.neucom.2026.132862
VKAAQQX9,A quantum portfolio optimization algorithm based on hard constraint and warm starting,10.12178/1001-0548.2024162,2025,journalArticle,https://doi.org/10.12178/1001-0548.2024162
BFWCCYI4,A time-Series Model Based on Quanntum Walk in terms of Quantum Bernoulli Noise,10.31873/IJEAS.5.10.17,2018,journalArticle,https://doi.org/10.31873/IJEAS.5.10.17
PURB5ICC,AI & Quantum Computing for Finance & Insurance: Fortunes and Challenges for China and America,10.1142/11371,06/2,book,https://doi.org/10.1142/11371
MTT3FJ2X,"AI, Data Science, and Quantum Neural Networks in E‑Commerce: Methods, Applications, Risks, and a Research Roadmap",10.64206/pp5nd013,2022,journalArticle,https://doi.org/10.64206/pp5nd013
5RRENFZV,AI-Enhanced DevOps Integration in Quantum Computing Environments: Optimizing Serverless Application Performance for Retail Systems,10.1109/MPCON66082.2025.11256734,2025,conferencePaper,https://doi.org/10.1109/MPCON66082.2025.11256734
Q675WRCR,AI-Powered Risk Modeling in Quantum Finance : Redefining Enterprise Decision Systems,10.32628/ijsrset221656,2022,journalArticle,https://doi.org/10.32628/ijsrset221656
JFAXBK92,Accelerating Quantum Monte Carlo Calculations with Set-Equivariant Architectures and Transfer Learning,,2025,preprint,
MAZ44Z4T,Adaptive AI and quantum computing for real-time financial fraud detection and cyber-attack prevention in U.S. healthcare,10.30574/wjarr.2025.26.2.1767,2025,journalArticle,https://doi.org/10.30574/wjarr.2025.26.2.1767
3XPMAP6R,Advancing Bi-Objective Weighted Portfolio Optimization Across International Markets via Quantum Annealing,10.1109/QCE65121.2025.00245,2025,conferencePaper,https://doi.org/10.1109/QCE65121.2025.00245
R696CGPN,Advancing Computational Efficiency with Quantum Annealing in Complex Optimization Across Scientific Domains,10.1109/ICAIT61638.2024.10690486,2024,conferencePaper,https://doi.org/10.1109/ICAIT61638.2024.10690486
6Z6NEGEP,Advancing Financial Decision-Making through Quantum Computing and Cloud-Based AI Models: A Comparative Analysis of Predictive Algorithms,10.70179/gbwxre90,2024,journalArticle,https://doi.org/10.70179/gbwxre90
7S2Z4P3D,An Effective QUBO Formulation for Knapsack Problems,10.1109/QAI63978.2025.00039,2025,conferencePaper,https://doi.org/10.1109/QAI63978.2025.00039
TATSIP5R,An Empirical Study on Enhancing Explainability Through Quantum Machine Learning for Credit Risk Analysis,10.1109/fmlds63805.2024.00084,2024,conferencePaper,https://doi.org/10.1109/fmlds63805.2024.00084
GTFKDXIN,"An Extended Epistemic Framework Beyond Probability for Quantum Information Processing with Applications in Security, Artificial Intelligence, and Financial Computing",10.3390/e27090977,2025,journalArticle,https://doi.org/10.3390/e27090977
X68MG3ZH,An Implementation of Quantum Machine Learning Technique to Determine Insurance Claim Fraud,10.1109/icrito56286.2022.9964828,2022,conferencePaper,https://doi.org/10.1109/icrito56286.2022.9964828
5REHUSY8,An Innovative Hunting-based Quantum-inspired Jaguar Algorithm for Combinatorial Optimization,10.1109/QCE60285.2024.10401,2024,conferencePaper,https://doi.org/10.1109/QCE60285.2024.10401
GR2WYH8X,An efficient confidentiality scheme based on quadratic chaotic map and Fibonacci sequence,10.3934/math.20241323,2024,journalArticle,https://doi.org/10.3934/math.20241323
UN5PEZS9,Analyzing the Financial Impact of Corporate Social Responsibility Using Quantum Neural Transformer Models,10.1109/icctdc64446.2025.11158042,2025,journalArticle,https://doi.org/10.1109/icctdc64446.2025.11158042
R4P74CA4,Antifragile Quantum-Semantic Systems via CVaR-POVM &amp; Riemannian Memory Manifolds,10.22541/au.176599457.78410478/v1,2025,journalArticle,https://doi.org/10.22541/au.176599457.78410478/v1
GMY2ZVNQ,Application of Quantum Computing in Discrete Portfolio Optimization,10.2139/ssrn.4130879,2022,journalArticle,https://doi.org/10.2139/ssrn.4130879
MC69DH2B,Application of Quantum Computing in Optimization Problems,10.31713/mcit.2024.033,2024,journalArticle,https://doi.org/10.31713/mcit.2024.033
NVGQ9A2Y,Application of quantum computing in healthcare billing - USA,10.30574/ijsra.2025.14.1.0102,2025,journalArticle,https://doi.org/10.30574/ijsra.2025.14.1.0102
I5SGZHTS,Applications of Quantum Machine Learning in Financial Services,10.1201/9781003558279-8,2025,bookSection,https://doi.org/10.1201/9781003558279-8
V7T673IZ,Applications of quantum computing to optimization,10.1109/CHILECON54041.2021.9703081,2021,conferencePaper,https://doi.org/10.1109/CHILECON54041.2021.9703081
4DMS9JMT,Applying Quantum Computing to the Renewable Energy Stock Exchange to Reduce the Risk of Investment,10.1007/978-981-99-8346-9_38,2024,bookSection,https://doi.org/10.1007/978-981-99-8346-9_38
FTZMHK6T,Artificial Intelligence and Quantum Computing Techniques for Stock Market Predictions,10.1002/9781394214334.ch5,2024,journalArticle,https://doi.org/10.1002/9781394214334.ch5
EF7PUQHQ,Automated Function Implementation via Conditional Parameterized Quantum Circuits with Applications to Finance,,2023,journalArticle,
AQQZMKCS,Automating Financial Analysis with QML Algorithm: A Banking Industry Perspective,10.1109/netcrypt65877.2025.11102448,2025,journalArticle,https://doi.org/10.1109/netcrypt65877.2025.11102448
CGZIRXP9,BQ-Bank: A Quantum Software for Finance and Banking,10.1155/2023/7810974,2023,journalArticle,https://doi.org/10.1155/2023/7810974
4WGSWC9V,Benchmarking Highly Precise Quantum Linear Systems Algorithms,10.1109/QCE65121.2025.10491,2025,conferencePaper,https://doi.org/10.1109/QCE65121.2025.10491
DGJIBMC7,Call Option Pricing Using Quantum Amplitude Estimation: A Comparative Study with Monte Carlo Simulation,10.1109/icsec67360.2025.11298113,2025,conferencePaper,https://doi.org/10.1109/icsec67360.2025.11298113
7BK3SJS8,Capturing dynamics with noisy quantum computers,,2026,journalArticle,
96NMEW4M,Challenges and opportunities of quantum computing and its transformative potential to revolutionise various sectors and industries,10.69554/GVBF3244,2024,journalArticle,https://doi.org/10.69554/GVBF3244
MBAHWQTY,Chapter 5 From evolution to revolution: the contemporary development of quantum computing,10.1515/9783110791402-005,2023,bookSection,https://doi.org/10.1515/9783110791402-005
9GNKCMEQ,Classical and quantum computing methods for estimating loan-level risk distributions,10.1080/01605682.2022.2115415,2022,journalArticle,https://doi.org/10.1080/01605682.2022.2115415
KEEZG5DB,Comparative Study between Quantum and Classical Methods: Few Observations from Portfolio Optimization Problem,10.1109/tqcebt54229.2022.10041475,2022,conferencePaper,https://doi.org/10.1109/tqcebt54229.2022.10041475
LU7DJX6L,Computational Results for a Quantum Computing Application in Real-Life Finance,10.1109/QCE57702.2023.00054,2023,conferencePaper,https://doi.org/10.1109/QCE57702.2023.00054
S8QITX6F,Computer-Aided Quantum Algorithms for Real-Time Energy Market Trading,10.1109/ACCESS.2025.3553369,2025,journalArticle,https://doi.org/10.1109/ACCESS.2025.3553369
D9VIEQUE,Continuous-Variable Quantum K-Means Clustering with Photonic Gaussian States,10.1109/ictc62082.2024.10826857,2024,journalArticle,https://doi.org/10.1109/ictc62082.2024.10826857
ZJXSAWQW,Contribution of Disruptive Technologies in Computational Finance:,10.4018/979-8-3693-1746-4.ch009,2024,bookSection,https://doi.org/10.4018/979-8-3693-1746-4.ch009
9WTZ49AC,Corrigendum to “Omnisolver: An extensible interface to Ising spin–glass and QUBO solvers” [SoftwareX 24 (2023) 101559],10.1016/j.softx.2024.101630,2024,journalArticle,https://doi.org/10.1016/j.softx.2024.101630
ZTZ6MGD4,Cost Savings Through Quantum AI-Driven Optimizations:,10.4018/979-8-3373-4347-1.ch004,2026,bookSection,https://doi.org/10.4018/979-8-3373-4347-1.ch004
UFBPUTXM,Credit Card Fraud Detection Using Machine Learning Based on Support Vector Machine,10.1109/ICONSTEM56934.2023.10142247,2023,conferencePaper,https://doi.org/10.1109/ICONSTEM56934.2023.10142247
SQQ3SEEZ,Cryptanalysis of the Quantum Blind Signature Scheme for Supply Chain Finance and Its Improvement,10.1002/qute.202500785,2026,journalArticle,https://doi.org/10.1002/qute.202500785
5TUAC36W,CryptoQNet: Leveraging Quantum Computing for Enhanced Cryptocurrency Market Analysis,10.1109/esci63694.2025.10988262,2025,conferencePaper,https://doi.org/10.1109/esci63694.2025.10988262
BV47X7HJ,Deep Learning with Quantum Computing Leveraging risk assessment financial optimization and detection of frauds,10.1109/iccies63851.2025.11033124,2025,conferencePaper,https://doi.org/10.1109/iccies63851.2025.11033124
82TARN4U,Deep Neural Networks and Fan Tokens’ Pricing in Football Clubs,10.1177/18758967251388256,2025,journalArticle,https://doi.org/10.1177/18758967251388256
EYYU5FME,Demonstration of quantum linear equation solver on the IBM qiskit platform,10.1109/DCABES50732.2020.00086,10/2,conferencePaper,https://doi.org/10.1109/DCABES50732.2020.00086
DS7S4K4N,Derivative Pricing and Credit Risk in a Regime Switching Economy Using Quantum Amplitude Estimation,10.1109/qce60285.2024.00067,2024,conferencePaper,https://doi.org/10.1109/qce60285.2024.00067
QA7WPWKM,Design and Implementation of a Quantum Computing-Based Financial Portfolio Optimization System,10.2139/ssrn.5086647,2025,journalArticle,https://doi.org/10.2139/ssrn.5086647
3PQPWZ9K,Design of a Blockchain-Driven Quantum Identity Model Using QHA-AC FQET and RL-QIDA Methods in Cloud Microservices,10.1109/ICEdge67252.2025.11412890,2025,conferencePaper,https://doi.org/10.1109/ICEdge67252.2025.11412890
W3SSH4ED,Designing PSS and SVC Parameters simultaneously through the Improved Quantum Algorithm in the Multi-machine Power System,,2018,journalArticle,
Z8EUF777,Designing an AIOps (Artificial Intelligent Operations) Framework for Energy-Efficient IT Operations: A Case Study on Cloud Computing Environment,10.1109/softt67007.2025.11213027,2025,conferencePaper,https://doi.org/10.1109/softt67007.2025.11213027
W3RSJI6A,Detecting Financial Fraud: A Comparative Study of Quantum-Based Supervised Learning Algorithms,10.1007/978-981-96-9184-5_12,2026,bookSection,https://doi.org/10.1007/978-981-96-9184-5_12
4RNA489Z,Discrete-Time Quantum Walk of a Bose-Einstein Condensate in Momentum Space,,2018,journalArticle,
BWEDIIMD,"Efficient Evaluation of Exponential and Gaussian Functions on a Quantum Computer, with Application to Quantum Computational Chemistry and Quantum Finance",,2023,journalArticle,
VNVYKYK4,Emerging Technologies in Financial Process Optimization and Risk Management:,10.4018/979-8-3693-4369-2.ch002,2025,bookSection,https://doi.org/10.4018/979-8-3693-4369-2.ch002
E3IVB49P,Empirical Analysis of Classical and Quantum Algorithms for Portfolio Optimization: Enhancing Financial Decision-Making Through Quantum Computing,10.1109/ICSCNA63714.2024.10864082,2024,conferencePaper,https://doi.org/10.1109/ICSCNA63714.2024.10864082
KTYZS6CE,Empirical Analysis of Quantum Compution using Qiskit Framework,10.1109/ICACCS57279.2023.10112866,2023,conferencePaper,https://doi.org/10.1109/ICACCS57279.2023.10112866
ATQA88PR,Empowering Sustainable Finance Through Education and Awareness: Fostering Responsible AI and Quantum Computing Usage for Enhanced ESG Analysis,10.1002/9781394389070.ch16,2025,journalArticle,https://doi.org/10.1002/9781394389070.ch16
GNRPNVCD,Enhanced Ransomware Detection using a Hybrid Quantum-Classical Convolutional Neural Network with Boosted Sooty Tern Optimization,10.1109/icsadl65848.2025.10933393,2025,journalArticle,https://doi.org/10.1109/icsadl65848.2025.10933393
QJWK3AJH,Enhancing African market predictions: Integrating quantum computing with Echo State Networks,10.1016/j.sciaf.2024.e02299,2024,journalArticle,https://doi.org/10.1016/j.sciaf.2024.e02299
SZUB3TJA,Enhancing Credit Risk Prediction Through Co-Trained Hybrid Quantum Transfer Learning Model,10.1109/QAI63978.2025.00021,2025,conferencePaper,https://doi.org/10.1109/QAI63978.2025.00021
4TCRMG3U,Enterprise Portfolio Optimization Based on Particle Swarm Optimization and Quantum Approximate Optimization Algorithm,10.1109/icicr65456.2025.00119,2025,conferencePaper,https://doi.org/10.1109/icicr65456.2025.00119
UZZXX8RZ,Evaluating Quantum Computing's Potential for Financial Engineering Optimisation,10.1201/9781003596721-10,2024,bookSection,https://doi.org/10.1201/9781003596721-10
M5R2UXBW,Experiments on Fraud Detection use case with QML and TDA Mapper,10.1109/qce52317.2021.00083,2021,conferencePaper,https://doi.org/10.1109/qce52317.2021.00083
BJWMSAQ8,Explainable hybrid quantum neural networks for analyzing the influence of tweets on stock price prediction,10.1016/j.compeleceng.2024.109302,2024,journalArticle,https://doi.org/10.1016/j.compeleceng.2024.109302
ICUIBBBV,Exploring Quantum Challenges and Opportunities of Quantum Machine Learning Adoption in Finance:,10.4018/979-8-3693-8186-1.ch017,2025,bookSection,https://doi.org/10.4018/979-8-3693-8186-1.ch017
XPSME4NH,Exploring Quantum Machine Learning Algorithms for Enhanced Data Classification and Clustering in Complex Systems - Integration with Gradient Boosting and K-means for Improved Performance,10.1109/cybercom63683.2024.10803157,2024,journalArticle,https://doi.org/10.1109/cybercom63683.2024.10803157
CKAKD6G9,Exploring the Versatility of QAOA: A Comprehensive Review,10.1109/ICCCNT61001.2024.10725610,2024,conferencePaper,https://doi.org/10.1109/ICCCNT61001.2024.10725610
S68626Q7,Exponential Improvement on Asian Option Pricing Through Quantum Preconditioning Methods,10.48550/arxiv.2501.15614,2025,journalArticle,https://doi.org/10.48550/arxiv.2501.15614
NFHAZWMW,Extrapolation method to optimize linear-ramp quantum approximate optimization algorithm parameters: dataset,10.5281/zenodo.18302992,2026,journalArticle,https://doi.org/10.5281/zenodo.18302992
73CXIRA8,FRAUD DETECTION USING RESTRICTED BOLTZMANN MACHINES ASSISTED BY QUANTUM COMPUTING,10.17771/pucrio.acad.73105,None,thesis,https://doi.org/10.17771/pucrio.acad.73105
RAAK729I,FX Asian Option Pricing Using Quantum Computers,10.2139/ssrn.4137397,2022,journalArticle,https://doi.org/10.2139/ssrn.4137397
CT46HG3F,Federated Learning in Quantum Computing for Privacy-Preserving and Distributed Quantum Model Training,10.1109/ICDICI66477.2025.11135329,2025,conferencePaper,https://doi.org/10.1109/ICDICI66477.2025.11135329
DNWG2EBT,Financial Portfolio Optimization Method Based on the Quantum Linear Discriminant Analysis,10.12178/1001-0548.2022109,2023,journalArticle,https://doi.org/10.12178/1001-0548.2022109
9VJWC834,Financial Portfolio Optimization: A QAOA and VQE Formulation for Sharpe Ratio Maximization,10.1109/icrtac59277.2023.10480826,2023,conferencePaper,https://doi.org/10.1109/icrtac59277.2023.10480826
D5R7RWK9,Financial Portfolio Optimization: a QUBO Formulation for Sharpe Ratio Maximization,,2023,journalArticle,
CJD29F3T,Financial fraud detection with entropy quantum optimization versus classical machine learning,10.1117/12.3066304,2025,conferencePaper,https://doi.org/10.1117/12.3066304
4HQPH3J5,Fraud Detection using Quantum Machine Learning(QML),10.1109/gccit63234.2024.10862508,2024,conferencePaper,https://doi.org/10.1109/gccit63234.2024.10862508
72S9NIGP,Frequency-domain enhanced bi-directional recurrent quantum network for stock price trend prediction,10.1007/s11042-023-17620-y,2023,journalArticle,https://doi.org/10.1007/s11042-023-17620-y
R3Q9GPIY,From Theory to Reality: Tracing the Milestones of Quantum Information Systems,10.1145/3723178.3723269,2024,conferencePaper,https://doi.org/10.1145/3723178.3723269
JJPMIS56,Generation of Classical-Quantum Code from UML models,10.1109/QCE57702.2023.10202,2023,conferencePaper,https://doi.org/10.1109/QCE57702.2023.10202
5TFISX5F,Generative Learning with Qopula Circuits,10.1109/comsnets59351.2024.10427073,2024,conferencePaper,https://doi.org/10.1109/comsnets59351.2024.10427073
9I2DZ6UZ,Guest editorial: Selected extended papers from the Quantum Software Architecture Workshop at IEEE International Conference on Software Architecture 2021 (ICSA 2021),10.1049/qtc2.12031,2021,journalArticle,https://doi.org/10.1049/qtc2.12031
C39PNI9W,Harnessing Quantum Computing for Predictive Analysis,10.1201/9781003587835-4,2026,bookSection,https://doi.org/10.1201/9781003587835-4
XVWFX8SQ,"High-Dimensional Signal Processing using Classical-Quantum Machine Learning Pipelines with the TensorFlow Stack, Cirq-NISQ, and Vertica",10.1109/QCE53715.2022.00121,2022,conferencePaper,https://doi.org/10.1109/QCE53715.2022.00121
39B7DQWJ,Hybrid Encoding-based Quantum Self Attention for Financial Time Series Analysis,10.1109/ICASSPW65056.2025.11011079,2025,conferencePaper,https://doi.org/10.1109/ICASSPW65056.2025.11011079
YU976KEK,Hybrid Quantum Deep Learning for Financial Market Trend Prediction,10.1109/ICICAT68430.2025.11414552,2025,conferencePaper,https://doi.org/10.1109/ICICAT68430.2025.11414552
V3RVBKX6,Hybrid Quantum Market State Inference for Ultra-Short-Horizon Financial Prediction,10.5281/zenodo.17924888,2025,journalArticle,https://doi.org/10.5281/zenodo.17924888
S4DJURBC,Hybrid Quantum Network for classification of finance and MNIST data,10.1109/icsa-c52384.2021.00027,2021,conferencePaper,https://doi.org/10.1109/icsa-c52384.2021.00027
W3FRDUGB,Hybrid Quantum-Classical Framework for Multi-Objective Weighted Portfolio Optimization,10.1109/qce65121.2025.10383,2025,journalArticle,https://doi.org/10.1109/qce65121.2025.10383
BRMBCAHR,Hybrid Quantum-Classical Method for Bank Account Fraud Detection using Quantum Encoding and Quantum Machine Learning,10.1109/URTC65039.2024.10937533,2024,conferencePaper,https://doi.org/10.1109/URTC65039.2024.10937533
B5D9R6ME,Hybrid Quantum-Classical Models and Optimization Techniques for Financial Fraud Detection,10.1109/icicnis66685.2025.11315779,2025,conferencePaper,https://doi.org/10.1109/icicnis66685.2025.11315779
WADWPFTU,Hybrid Quantum-Classical Neural Network (HQCNN) for Crypto Price Forecasting,10.1109/aibthings66987.2025.11296267,2025,conferencePaper,https://doi.org/10.1109/aibthings66987.2025.11296267
CUCEWETB,Hybrid Quantum-Classical Portfolio Optimization Leveraging Counterdiabatic Annealing and Quantum Risk Factors,10.36227/techrxiv.175795525.59311374/v1,2025,journalArticle,https://doi.org/10.36227/techrxiv.175795525.59311374/v1
XAVT6BGT,Hybrid Quantum-Classical Support Vector Machines for Financial Regime Detection: Performance and Efficiency Evaluation,10.2139/ssrn.5707104,2025,preprint,https://doi.org/10.2139/ssrn.5707104
BNIFFR99,Hybrid Quantum-Classical Transfer Learning Model for Credit Risk Assessment with Reduced Quantum Overhead and Enhanced Minority Class Prediction,10.1109/qce65121.2025.10374,2025,conferencePaper,https://doi.org/10.1109/qce65121.2025.10374
55BQAHM8,Hybrid quantum–cloud framework for nonlinear clustering optimization and intelligent resource management,10.31838/rna/2025.08.03.007,2025,journalArticle,https://doi.org/10.31838/rna/2025.08.03.007
NX5AC2RQ,Impact of quantum computing on current technologies,10.23919/CISTI54924.2022.9820248,2022,conferencePaper,https://doi.org/10.23919/CISTI54924.2022.9820248
2KW72BI5,Implementing Quantum Machine Learning in Credit Card Fraud Detection,10.1109/netcrypt65877.2025.11102604,2025,conferencePaper,https://doi.org/10.1109/netcrypt65877.2025.11102604
SV339PQS,Improving credit card transaction fraud detection using CVQBoosting,,2026,journalArticle,
WJNK99DN,Improving the Sequence Alignment Method by Quantum Multi-Pattern Recognition,10.1145/3200947.3201041,2018,conferencePaper,https://doi.org/10.1145/3200947.3201041
CFHVNBAA,Integrated Photonic Computing Chip For Unary-Based Option Pricing,10.1364/ofc.2024.w1f.3,2024,conferencePaper,https://doi.org/10.1364/ofc.2024.w1f.3
AE7NGWRU,Integrating Emerging Technologies for Organizational Agility,10.4018/979-8-3373-6207-6.ch003,2025,journalArticle,https://doi.org/10.4018/979-8-3373-6207-6.ch003
NP2D68Z8,"Integration of Hybrid Quantum–Neuromorphic AI With Cloud, Edge, and High-Performance Computing Environments",10.4018/979-8-3373-7779-7.ch007,2026,bookSection,https://doi.org/10.4018/979-8-3373-7779-7.ch007
E78IGSHZ,Integration of innovative business models using quantum computing and generative AI,10.1201/9781003597414-23,2025,journalArticle,https://doi.org/10.1201/9781003597414-23
4ZUPXF6F,Integration of parameterized quantum circuits within classical neural network for financial time-series prediction,10.1007/s42484-025-00265-5,2025,journalArticle,https://doi.org/10.1007/s42484-025-00265-5
E38K5FG3,Introduction to Quantum Computing,10.1201/9781003674566-1,2026,bookSection,https://doi.org/10.1201/9781003674566-1
I84UYEL6,Leveraging Distributed Quantum Computing for Effective Optimization Solutions,10.1109/ICCCNT61001.2024.10724468,2024,conferencePaper,https://doi.org/10.1109/ICCCNT61001.2024.10724468
SGFCRQ5N,Leveraging Quantum Computing and Optimization to Estimate Financial Crashes in Small and Medium-Sized Enterprises,10.1109/UBMK63289.2024.10773505,2024,conferencePaper,https://doi.org/10.1109/UBMK63289.2024.10773505
88RMTATP,Leveraging Quantum Machine Learning to Address Class Imbalance: A Novel Approach for Enhanced Predictive Accuracy,10.3390/sym17020186,2025,journalArticle,https://doi.org/10.3390/sym17020186
5829CAHZ,Market informed portfolio optimization methods with hybrid quantum computing,10.1002/rfe.1219,2024,journalArticle,https://doi.org/10.1002/rfe.1219
HRBHHSMX,Mathematical Foundations of Quantum Linear Regression: A Proof of Concept via Variational Hamiltonian Formulation,10.36227/techrxiv.175099726.66124047/v1,2025,journalArticle,https://doi.org/10.36227/techrxiv.175099726.66124047/v1
2WHMGI99,Model Analysis and Application of Quantum Computers in Credit Scoring Card Combination Optimization,10.1109/DDCLS61622.2024.10606854,2024,conferencePaper,https://doi.org/10.1109/DDCLS61622.2024.10606854
TSM3RGUP,NExt ApplicationS of Quantum Computing D5.1: Review of state-of-the-art for Pricing and Computation of VaR,,2021,journalArticle,
WS7C2C2C,Navigating optimization and security challenges in the AI-driven digital economy: from classical limits to quantum solutions,10.1049/icp.2025.2981,2025,conferencePaper,https://doi.org/10.1049/icp.2025.2981
73EP6AT7,Non‐Differentiable Leaning of Quantum Circuit Born Machine with Genetic Algorithm,10.1002/wilm.10943,2021,journalArticle,https://doi.org/10.1002/wilm.10943
2WBQTQ22,Numerical solution of boundary value problems using quantum computing system,10.1504/IJSSE.2025.151321,2025,journalArticle,https://doi.org/10.1504/IJSSE.2025.151321
38PTME4P,Optimal Tuning of Quantum Generative Adversarial Networks for Multivariate Distribution Loading,10.3390/quantum4010006,2022,journalArticle,https://doi.org/10.3390/quantum4010006
QPNF4E4F,Optimized Quantum Circuit Implementation of Payoff Function,10.1109/vlsi-soc57769.2023.10321843,2023,conferencePaper,https://doi.org/10.1109/vlsi-soc57769.2023.10321843
A93NBFPX,Optimized Stock Price Forecasting: A Deep Learning Approach Using QCTO Based GRU Network,10.1109/CIACON65473.2025.11189776,2025,conferencePaper,https://doi.org/10.1109/CIACON65473.2025.11189776
V6L3TUJZ,Optimizing Feature Selection for Predictive Analytics With Quantum Algorithms:,10.4018/979-8-3693-7673-7.ch009,2024,bookSection,https://doi.org/10.4018/979-8-3693-7673-7.ch009
ACR4ZCCZ,Optimizing Hybrid Quantum-Classical Models Using Parameterized Quantum Circuits for Time-Series Forecasting,10.36227/techrxiv.175295886.67877890/v1,2025,preprint,https://doi.org/10.36227/techrxiv.175295886.67877890/v1
ZR7SVXZJ,"PREreview of ""The Inverse Born Rule Fallacy: On the Informational Limits of Phase-Locked Amplitude Encoding""",10.5281/zenodo.18793265,2026,journalArticle,https://doi.org/10.5281/zenodo.18793265
4MIM2CJX,Performance evaluation of post quantum digital signature algorithms over WDM optical communication system,10.1515/joc-2025-0104,2025,journalArticle,https://doi.org/10.1515/joc-2025-0104
