paper_id,title,doi,source,pdf_url,status,filename,timestamp
001f5dbe487a,Applications of Vedic Computing for Quantum Computing,10.31224/3638,unpaywall,https://engrxiv.org/preprint/download/3638/6471/5206,success,001f5dbe487a_applications_of_vedic_computing_for_quantum_computing.pdf,2026-03-30T13:35:03
0030bd185e0d,"AI-Augmented Quantitative Finance: A Multi-Methodological Framework Combining Machine Learning, Deep Learning, and Quantum Computing for Predictive Risk Modeling",10.62311/nesx/rp-4-aug-2025,unpaywall,https://www.nationaleducationservices.org/file-download/1479724/Download Full-Text Research Paper PDF Pp 74-98.pdf,success,0030bd185e0d_ai_augmented_quantitative_finance_a_multi_methodological_framework_combining_mac.pdf,2026-03-30T13:36:37
0067a26ce270,Quantum algorithm for stochastic optimal stopping problems,,openalex,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.TQC.2022.2,download_failed,,2026-03-31T10:45:03
00c17032f4af,Toward Quantum Enabled Solutions for Real-Time Currency Arbitrage in Financial Markets,10.1109/AIMLSystems67835.2025.11330637,semantic_scholar,https://arxiv.org/pdf/2509.09289.pdf,success,00c17032f4af_toward_quantum_enabled_solutions_for_real_time_currency_arbitrage_in_financial_m.pdf,2026-03-18T16:17:31
00e181896bba,Pioneering Quantum Computing in Financial Services,10.4018/979-8-3373-2893-5.ch013,none,,no_oa_source,,2026-03-31T10:45:10
01326ce2213f,"Quantum Chebyshev Transform: Mapping, Embedding, Learning and Sampling Distributions",,none,,no_oa_source,,2026-03-31T10:45:15
01877ad38ab2,Mixed Quantum-Classical Method For Fraud Detection with Quantum Feature Selection,10.48550/arxiv.2208.07963,arxiv,https://arxiv.org/pdf/2208.07963.pdf,success,01877ad38ab2_mixed_quantum_classical_method_for_fraud_detection_with_quantum_feature_selectio.pdf,2026-03-30T12:26:33
01a1ecaddb94,Optimized Stock Price Forecasting: A Deep Learning Approach Using QCTO Based GRU Network,10.1109/CIACON65473.2025.11189776,none,,no_oa_source,,2026-03-31T10:45:21
01e7ba36bcfc,Analysis of a hybrid quantum network for classification tasks,10.1049/qtc2.12017,openalex,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1049/qtc2.12017,download_failed,,2026-03-31T10:45:22
026a7b6919fc,Hybrid Classical-quantum Computing: Applications to Statistical Mechanics of Financial Markets,10.1051/e3sconf/202130704001,unpaywall,https://www.e3s-conferences.org/articles/e3sconf/pdf/2021/83/e3sconf_dsdm2021_04001.pdf,success,026a7b6919fc_hybrid_classical_quantum_computing_applications_to_statistical_mechanics_of_fina.pdf,2026-03-30T13:37:08
02db829631f9,Quantum Optimization for Portfolio Management in Financial Services Using the Variational Quantum Eigensolver (VQE) Algorithm,10.1109/ICNSoC66817.2025.00113,none,,no_oa_source,,2026-03-31T10:45:29
04326473e1bb,Quantum Algorithms for Solving Large-Scale Optimization Problems: Challenges and Breakthroughs,10.1109/ICoICI65217.2025.11254519,none,,no_oa_source,,2026-03-31T10:45:37
045306ad1a16,CVaR-Based Variational Quantum Optimization for User Association in Handoff-Aware Vehicular Networks,10.1109/ICC52391.2025.11161596,openalex,https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.173747579.95902813/v1,download_failed,,2026-03-31T10:45:38
