paper_id,title,authors,year,doi,venue,source_db
ee8331fcdc90,Designing PSS and SVC Parameters simultaneously through the Improved Quantum Algorithm in the Multi-machine Power System,Amir Kazemi Zahrani; M. Parastegari,2018,,,semantic_scholar
2fa8a733b41d,Realization of a quantum walk in momentum space with a Bose-Einstein condensate,Siamak Dadras; Alexander Gresch; Caspar Groiseau; Sandro Wimberger; Gil Summy,2018,,arXiv (Cornell University),openalex
8fccc6cb2db6,Quantum on the money [quantum computing in financial services sector],Joseph Hayes,2019,10.1049/et.2019.0401,Engineering & Technology,openalex
3f4c5ad6749d,Quantum unary approach to option pricing,Sergi Ramos-Calderer; Adrián Pérez-Salinas; Diego García-Martín; Carlos Bravo-Prieto; Jorge Cortada; Jordi Planagumà; José I. Latorre,2019,10.1103/PhysRevA.103.032414,arXiv,arxiv
4dc6746d80a2,Uncertainty and symmetry bound for the total detection probability of quantum walks,Felix Thiel; Itay Mualem; David A. Kessler; Eli Barkai,2019,,arXiv (Cornell University),openalex
8bb680c2fb8b,Quantum computing: Challenges and opportunities,Bozzo-Rey M.,2020,,Cascon 2019 Proceedings Conference of the Centre for Advanced Studies on Collaborative Research Proceedings of the 29th Annual International Conference on Computer Science and Software Engineering,scopus
ef99551dab0f,NExt ApplicationS of Quantum Computing D5.1: Review of state-of-the-art for Pricing and Computation of VaR,,2021,,,semantic_scholar
0608ad48d5b8,Pricing ﬁnancial derivatives with exponential quantum speedup,Javier Gonzalez-Conde; ´Angel Rodr´ıguez-Rozas; E. Solano; M. Sanz,2021,,,semantic_scholar
fa9e2c7101b8,QAOA Applications in Finance,Nathan White; Kaiwen Gui; Zain H. Saleem; Martin Suchara,2021,,Bulletin of the American Physical Society,openalex
a4c29a22413b,Quantum Circuit Learning to Compute Option Prices and Their Sensitivities,Takayuki Sakuma,2021,10.2139/ssrn.3922040,SSRN Electronic Journal,openalex
9ea18a0e8bfd,Quantum Graph Partitioning Delays Cascade Failure Phase Transition in Financial Networks,Amine Mohamed Aboussalah,2021,10.2139/ssrn.3968261,SSRN Electronic Journal,openalex
cde1c896dc3c,Quantum Machine Learning for Finance,Marco Pistoia; Syed Farhan Ahmad; Akshay Ajagekar; Alexander Buts; Shouvanik Chakrabarti; Dylan Herman; Shaohan Hu; Andrew Jena; Pierre Minssen; Pradeep Niroula; Arthur Rattew; Yue Sun; Romina Yalovetzky,2021,,arXiv,arxiv
0067a26ce270,Quantum algorithm for stochastic optimal stopping problems,João F. Doriguello; Alessandro Luongo; Jinge Bao; Patrick Rebentrost; Miklós Sántha,2021,,arXiv (Cornell University),openalex
a4cb146201fc,Quantum propensity in economics,David Orrell; Monireh Houshmand,2021,,arXiv,arxiv
a143717759af,Reverse Stress Testing in Banking,"Eichhorn, Michael; Bellini, Tiziano; Mayenberger, Daniel; Ahmad, Nasir; Bouayoun, Assad; Caccioli, Fabio; Charmaille, Jean-Pierre; Cotoi, Iulian; Crépey, Stéphane; Danielsson, Jon; Dash, Sidhartha; Davies, Brandon; Dengler, Heike; Albanese, Claudio; Fouché, Morgane; Gann, Philipp; Henry, Jérôme; Iabichino, Stefano; Ivantsov, Evgueni; Almehed, Daniel",2021,10.1515/9783110647907,,openalex
bc8d838c7545,Short Communication: A Quantum Algorithm for Linear PDEs Arising in Finance,Filipe Fontanela; Antoine Jacquier; Mugad Oumgari,2021,10.1137/21m1397878,SIAM Journal on Financial Mathematics,openalex
e513378d8c92,"AI, Data Science, and Quantum Neural Networks in E‑Commerce: Methods, Applications, Risks, and a Research Roadmap",S. Martínez,2022,10.64206/pp5nd013,,openalex
8a2a16ffc826,FORECASTING STOCK MARKET CRASHES VIA REAL-TIME RECESSION PROBABILITIES: A QUANTUM COMPUTING APPROACH,David Alaminos; María Belén Salas; Manuel Á. Fernández-Gámez,2022,10.1142/s0218348x22401624,Fractals,openalex
e37b332b43d5,FX Asian Option Pricing Using Quantum Computers,Rafał Pracht; Adam Ryterski; Julia Plewa; Marek Stefaniak,2022,10.2139/ssrn.4137397,SSRN Electronic Journal,openalex
ab43aaeed4af,Impact of quantum computing on current technologies,Stiward Vicente Dominguez Ruiz; Byron Fabricio Alulima Minga; Javier Danny Cacay Soto; Edison Filomeno Malla Zambrano,2022,10.23919/cisti54924.2022.9820248,2022 17th Iberian Conference on Information Systems and Technologies (CISTI),openalex
0f3a64e9e3ed,Quantitative Analysis and Forecasting Techniques in Financial Markets: A 2022 Review,Zibin Huang,2022,10.70088/wfwcn555,Financial economics insights.,openalex
ea4504852540,"Quantum Binomial Tree, an Exponential Speedup for Derivative Pricing",Rafał Pracht,2022,10.2139/ssrn.4216595,SSRN Electronic Journal,openalex
7b4855a804c1,Quantum Computations and Option Pricing,Baaquie B.E.,2022,10.1142/9789811263699_0027,Looking Beyond the Frontiers of Science Dedicated to the 80th Birthday of K K Phua,scopus
6fe2aeb67e66,Quantum Computing,Manisha Bharti; Tanvika Garg,2022,10.1002/9781119777465.ch4,,openalex
1d16f793a68b,Quantum neural network for continuous variable prediction,Prateek Jain; A. G. Garcia,2022,,,semantic_scholar
c7db741770a8,Quantum-Assisted AI for Speeding up Large-Scale Data Processing,Narayana Gaddam,2022,10.63530/ijcsitr_2022_03_01_13,,openalex
dbe1e9d1911e,QuantumLeap: Hybrid quantum neural network for financial predictions,Eric Paquet; Farzan Soleymani,2022,10.1016/j.eswa.2022.116583,Expert Systems with Applications,openalex
2e35d78fa802,Solving Subset Sum Problems using Binary Optimization with Applications in Auditing and Financial Data Analysis,David Biesner; Rafet Sifa; Christian Bauckhage,2022,10.36227/techrxiv.18994160.v1,,openalex
d2987e36ebc7,Supervised Question Classification on SelQA Dataset Using Variational Quantum Classifiers,Pragya Katyayan; Nisheeth Joshi,2022,10.1007/978-981-19-3679-1_60,Lecture notes in networks and systems,openalex
d0568e395fbf,11 A review of different techniques and challenges of quantum computing in various applications,B. Aruna Devi; N. Alangudi Balaji; Mulugeta Tesema,2023,10.1515/9783110798159-011,,openalex
46e6281cc0ea,A quantum feature selection framework via ground state preparation,Lu Wang; Zhao‐Yun Chen; Feng-Yu Le; Zhi-Qian Yu; Cheng Xue; Xi‐Ning Zhuang; Qing Yan; Yang Yang; Yu-Chun Wu; Guo‐Ping Guo,2023,10.1088/1402-4896/ad0184,Physica Scripta,openalex
4de005c12725,Automated Function Implementation via Conditional Parameterized Quantum Circuits with Applications to Finance,Mark-Oliver Wolf; Thomas Ewen; Ivica Turkalj,2023,,,semantic_scholar
53d70155ce82,Chapter 5 From evolution to revolution: the contemporary development of quantum computing,Stewart Kirubakaran S; R. Senthil Kumar; Anusha A. M. Bamini; R. Chitra,2023,10.1515/9783110791402-005,,openalex
dc93502cbe99,Contribution of Disruptive Technologies in Computational Finance,Arvind Kumar Bhatt; M. Anand Kumar; Rajesh Tiwari,2023,10.4018/979-8-3693-1746-4.ch009,"Advances in finance, accounting, and economics book series",openalex
814040fcfdb1,Financial Portfolio Optimization Method Based on the Quantum Linear Discriminant Analysis,Chen B.,2023,10.12178/1001-0548.2022109,Dianzi Keji Daxue Xuebao Journal of the University of Electronic Science and Technology of China,scopus
d18096ef8f4c,Financial Portfolio Optimization: a QUBO Formulation for Sharpe Ratio Maximization,Mirko Mattesi; Luca Asproni; Christian Mattia; Simone Tufano; Giacomo Ranieri; Davide Caputo; Davide Corbelletto,2023,,,semantic_scholar
3a3ba897009d,QAOA applied to the portfolio optimization problem,Alberto Bezerra de Palhares Júnior,2023,,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),openalex
4255cabe0f56,Quantum Algorithm for Option Pricing,Belal E. Baaquie; L. C. Kwek,2023,10.1007/978-981-19-7517-2_14,,openalex
bf1f4204b1e6,Quantum advantage of Monte Carlo option pricing,Zoltán Udvarnoki; Gábor Fáth; Norbert Fogarasi,2023,10.1088/2399-6528/acd2a4,Journal of Physics Communications,openalex
b3543c214d69,Quantum-enhanced Versus Classical Support Vector Machine: An Application to Stock Index Forecasting,Mathieu Mercadier,2023,10.2139/ssrn.4630419,SSRN Electronic Journal,openalex
7f91dcfbca63,"Quantum-inspired anomaly detection, a QUBO formulation",Julien Mellaerts,2023,,arXiv,arxiv
ea3050e19cb2,11 Unveiling intelligence: exploring variational quantum circuits as machine learning models,Hardik Dhiman; Maheshwar Dhiman,2024,10.1515/9783111342276-011,,openalex
0d70169cb87f,A Comparative Study of Classical and Quantum Machine Learning for Large-Scale Financial Forecasting,R. Scott,2024,10.64206/h26qc363,"Robotics, Autonomous, Machine Learning, and Artificial intelligence Journal",semantic_scholar
66f18ee7b813,An efficient quantum algorithm for independent component analysis,Xiao‐Fan Xu; Xi‐Ning Zhuang; Cheng Xue; Zhao‐Yun Chen; Yu-Chun Wu; Guo‐Ping Guo,2024,10.1088/1367-2630/ad5e16,New Journal of Physics,openalex
ae4cc7b70669,Artificial Intelligence and Quantum Computing Techniques for Stock Market Predictions,Rajiv Iyer; Aarti Bakshi,2024,10.1002/9781394214334.ch5,,openalex
c459e5fdfbdc,Evaluating Quantum Computing's Potential for Financial Engineering Optimisation,Deepali Virmani; R. Anuradha; Ahmad Y. A. Bani Ahmad; Pankaj Kumar; Ananda Ravuri; G. Poshamallu; Dejan Mircetic,2024,10.1201/9781003596721-10,,openalex
99b07636e459,Experimental implementation of quantum-walk-based portfolio optimization,Dengke Qu; Edric Matwiejew; Kunkun Wang; Jingbo Wang; Peng Xue,2024,10.1088/2058-9565/ad27e9,Quantum Science and Technology,openalex
176f4217cb91,Explainable hybrid quantum neural networks for analyzing the influence of tweets on stock price prediction,Manoranjan Gandhudi; Alphonse P.J.A.; Ugo Fiore; G. R. Gangadharan,2024,10.1016/j.compeleceng.2024.109302,Computers & Electrical Engineering,openalex
b9793b3d8619,Integrated Photonic Computing Chip For Unary-Based Option Pricing,Hui Zhang; Sergi Ramos-Calderer; Yuancheng Zhan; Hong Cai; Guo‐Qiang Lo; L. C. Kwek; José I. Latorre; A. Q. Liu,2024,10.1364/ofc.2024.w1f.3,,openalex
f0cfc9685e15,Optimizing Feature Selection for Predictive Analytics With Quantum Algorithms,C. N. Manushree; Hari Deepthi Putluru; Himanshu Khajuria; Chintan Singh; Biswa Prakash Nayak,2024,10.4018/979-8-3693-7673-7.ch009,"Advances in marketing, customer relationship management, and e-services book series",openalex
66b4a51889c0,Quantum 2-Player Games and Realizations with Circuits,Jinliang Zhang; Tian Chen; W. Deng; Xiaoxue Tong; Xiangdong Zhang,2024,10.34133/research.0480,Research,openalex
250a9d44ef66,Quantum Computing: Algorithms and Applications in Optimization Problems,Vikram Sehrawat,2024,10.36676/jqst.v1.i2.11,Journal of Quantum Science and Technology.,openalex
ba5afbcce6b8,Quantum Machine Learning and Optimisation in Finance,Tushar Vaidya,2024,10.1080/14697688.2024.2375260,Quantitative Finance,openalex
e505ff143d95,Quantum Machine Learning and Optimisation in Finance: Drive financial innovation with quantum-powered algorithms and optimisation strategies,Jacquier A.,2024,,Quantum Machine Learning and Optimisation in Finance Drive Financial Innovation with Quantum Powered Algorithms and Optimisation Strategies,scopus
963ca4c12a61,Quantum Risk Modeling Redefining Actuarial Science with Quantum Algorithms,Adedoyin Adetoun Samuel,2024,10.64206/8xz2pv42,Journal of Science Technology and Engineering Research,openalex
b0f18b08964e,Quantum computing and financial risk management: A theoretical review and implications,Mayokun Daniel Adegbola; Ayodeji Enoch Adegbola; Prisca Amajuoyi; Lucky Bamidele Benjamin; Kudirat Bukola Adeusi,2024,10.51594/csitrj.v5i6.1194,Computer Science & IT Research Journal,openalex
86891f250a78,Quantum machine learning on near-term quantum devices: Current state of supervised and unsupervised techniques for real-world applications,Yaswitha Gujju; Atsushi Matsuo; Rudy Raymond,2024,10.1103/physrevapplied.21.067001,Physical Review Applied,openalex
c8c709dc67c3,Quantum synergy in peptide folding: A comparative study of CVaR-variational quantum eigensolver and molecular dynamics simulation,Akshay Uttarkar; Vidya Niranjan,2024,10.1016/j.ijbiomac.2024.133033,International Journal of Biological Macromolecules,openalex
a19de5d705c8,Quantum walk option pricing model based on binary tree,Qi Han; Xuan Song,2024,10.1016/j.physa.2024.130205,Physica A Statistical Mechanics and its Applications,openalex
c759041ceebc,Research on Financial Market Prediction Model Based on Big Data and Quantum Computing,Hongwu Wang; Hong Cheng; Siyu Zhu,2024,10.1142/s2010324724400101,SPIN,openalex
455f0fa41521,Research on the Design of Financial Data Analysis Platform with Joint PSO-HQCNN and RPA Robot Visualization Technology,Zhenzhen Tang,2024,10.5573/ieiespc.2024.13.5.472,IEIE Transactions on Smart Processing and Computing,openalex
cded9dd64213,"Variational Quantum Algorithms in Anomaly Detection, Fraud Indicator Identification, Credit Scoring, and Stock Price Prediction",Hiep. L. Thi; Thanh Nguyen,2024,10.1007/978-981-97-3302-6_39,Lecture notes in networks and systems,openalex
8feb8231bb32,ntegrating Quantum-Inspired Principles into Financial Data Science: Optimizing Reservoir Computing Models,J Akshaya,2024,10.55041/ijsrem36112,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,openalex
69b8b36d8aad,"A Quantum Risk Management Framework (QRMF): Quantum Amplitude Estimation for VaR/CVaR, Entanglement-Based Systemic Risk Analytics, and Variational Risk Optimization",Yalla Jnan Devi Satya Prasad,2025,10.20944/preprints202510.0505.v1,Preprints.org,openalex
bcfb2bcd887f,Adaptive Quantum Entanglement Networks for Real-Time Financial Fraud Detection: A Novel Framework with Temporal Correlation Analysis,Yalla Jnan Devi Satya Prasad,2025,10.36227/techrxiv.175750771.12895702/v1,,openalex
a426a8634e23,Analyzing Perceptron Algorithm for Global Gold Price Prediction using Quantum Computing Approach,Solikhun Solikhun; Muhammad Siregar,2025,10.22219/kinetik.v10i1.2024,Kinetik Game Technology Information System Computer Network Computing Electronics and Control,openalex
c43d47985bee,Applications of Quantum Machine Learning in Financial Services,S. Bhuvaneswari; A Abirami; R. Deepakraj; Jyoti Batra Arora; K. Kaarthic Varun,2025,10.1201/9781003558279-8,Apple Academic Press eBooks,openalex
e69606eda4d4,Deep Neural Networks and Fan Tokens’ Pricing in Football Clubs,David Alaminos; Miguel Guillén-Pujadas; Emili Vizuete–Luciano; Bàrbara Llacay,2025,10.1177/18758967251388256,Journal of Intelligent & Fuzzy Systems,openalex
e8b9674d7c5e,Driving Operational Efficiency in Finance Through Strategic Automation and Process Optimization,Ganesan Selvam,2025,10.32996/jcsts.2025.7.7.105,Journal of Computer Science and Technology Studies,openalex
7301808f6d01,Emerging Technologies in Financial Process Optimization and Risk Management,Majid Sabkara; Mahdi Aliyari; Masoumeh Lajevardi,2025,10.4018/979-8-3693-4369-2.ch002,IGI Global eBooks,openalex
a603e283e0cf,Empowering Sustainable Finance Through Education and Awareness: Fostering Responsible AI and Quantum Computing Usage for Enhanced ESG Analysis,Geetha N.,2025,10.1002/9781394389070.ch16,Adaptive Artificial Intelligence Fundamentals Challenges and Applications,scopus
f4883fc328d4,Error-Resilient Quantum Machine Learning for Real-World Optimization Problems in Finance and Supply Chain Networks,Milad Rahmati,2025,10.15408/inprime.v7i1.44960,InPrime Indonesian Journal of Pure and Applied Mathematics,openalex
885002fa235e,Exploring Quantum Challenges and Opportunities of Quantum Machine Learning Adoption in Finance,Tarun Kumar Vashishth; Vikas Sharma; Vineet Kaushik; Aniket Singh; Shashi; Saket Kaushik,2025,10.4018/979-8-3693-8186-1.ch017,"Advances in finance, accounting, and economics book series",openalex
fbec16f60f72,Exponential Improvement on Asian Option Pricing Through Quantum Preconditioning Methods,Gumaro Rendon; Rutuja Kshirsagar; Quoc Hoan Tran,2025,,arXiv,arxiv
40ca827d69b9,FRAUD DETECTION USING RESTRICTED BOLTZMANN MACHINES ASSISTED BY QUANTUM COMPUTING,JOAO MARCOS C DE ALBUQUERQUE NETO,2025,10.17771/pucrio.acad.73105,,openalex
9f2d4ce48167,Financial fraud detection with entropy quantum optimization versus classical machine learning,Babak Emami; David Haycraft; Carrie Spear; Lac Nguyen; Mohammad‐Ali Miri; Nicholas Chancellor,2025,10.1117/12.3066304,,openalex
115e509ec529,Hybrid Quantum Market State Inference for Ultra-Short-Horizon Financial Prediction,"Hartley, Kenneth",2025,10.5281/zenodo.17924888,Zenodo (CERN European Organization for Nuclear Research),openalex
1312e9d3c55e,Hybrid Quantum-Classical Machine Learning with PennyLane: A Comprehensive Guide for Computational Research,Sidney Shapiro,2025,,arXiv,arxiv
615067f0066c,Hybrid Quantum-Classical Portfolio Optimization Leveraging Counterdiabatic Annealing and Quantum Risk Factors,Yalla Jnan Devi Satya Prasad,2025,10.36227/techrxiv.175795525.59311374/v1,,openalex
9c8acfa3bc72,Hybrid Quantum-Classical Support Vector Machines for Financial Regime Detection: Performance and Efficiency Evaluation,Tom Girard,2025,10.2139/ssrn.5707104,SSRN Electronic Journal,openalex
90c55cffbb52,Hybrid quantum–cloud framework for nonlinear clustering optimization and intelligent resource management,Indhumathi R.,2025,10.31838/rna/2025.08.03.007,Results in Nonlinear Analysis,scopus
da5f74409827,Integrating Emerging Technologies for Organizational Agility,M Ruba; G. Ashwin Prabhu; M. Robinson Joel; K. Priya; L. Dharshani; R. Dharani,2025,10.4018/979-8-3373-6207-6.ch003,,openalex
f67b13b40931,Integration of innovative business models using quantum computing and generative AI,Priyanshu Mishra; Shrutika Mishra,2025,10.1201/9781003597414-23,,openalex
57a58ac6ea72,Mathematical Foundations of Quantum Linear Regression: A Proof of Concept via Variational Hamiltonian Formulation,Methanon Kaeokrachang,2025,10.36227/techrxiv.175099726.66124047/v1,,openalex
258cef4e076f,Navigating optimization and security challenges in the AI-driven digital economy: from classical limits to quantum solutions,Hafiz Muhammad Waseem; Carsten Maple,2025,10.1049/icp.2025.2981,IET conference proceedings.,openalex
3453ddc0d7db,Numerical solution of boundary value problems using quantum computing system,Ajanta Das; Debabrata Datta; S. Suman Rajest; Varun Kumar Nomula; R. Dharani; K. Danesh,2025,10.1504/ijsse.2025.151321,International Journal of System of Systems Engineering,openalex
2abf80ef91e3,Optimizing Hybrid Quantum-Classical Models Using Parameterized Quantum Circuits for Time-Series Forecasting,Harshraj Bhoite,2025,10.36227/techrxiv.175295886.67877890/v1,,openalex
135bf0e19b10,Performance evaluation of post quantum digital signature algorithms over WDM optical communication system,Marwa M. Hamood; Tayseer S. Atia; Arwa A. Moosa,2025,10.1515/joc-2025-0104,Journal of Optical Communications,openalex
30582038a7ba,Periodic Unitary Encoding for Quantum Anomaly Detection of Temporal Series,Daniele Lizzio Bosco; R. Romanello; Giuseppe Serra,2025,10.5220/0013537800004525,IQSOFT,semantic_scholar
00e181896bba,Pioneering Quantum Computing in Financial Services,Rismawati Rismawati,2025,10.4018/979-8-3373-2893-5.ch013,,openalex
b2cc85a6587a,QCC Echo: Redacted Results-Only Verification and Hardware Match Summary,"Machwaya, Destiny",2025,10.5281/zenodo.17527846,Zenodo (CERN European Organization for Nuclear Research),openalex
c7451962353b,QUANTUM COMPUTING IN FINANCIAL RISK MANAGEMENT AND PORTFOLIO OPTIMIZATION,Neelotpal Dey; Mr Akash Kumar; Mr Sanjay,2025,10.13140/rg.2.2.13116.91527,,openalex
9a4ba980a229,Quantum Approaches to NP-Hard Combinatorial Optimization Problems: A Review,Charan Karnati; P. Venkata Subba Reddy,2025,10.5281/zenodo.18194157,Zenodo (CERN European Organization for Nuclear Research),openalex
b9bbd2d099f0,"Quantum Binomial Tree, An Effective Method for Probability Distribution Loading for Derivative Pricing",Dariusz Ga̧tarek,2025,10.54946/wilm.12175,Wilmott,openalex
6bbc4a2d4a89,Quantum Computing Applications,Ushaa Eswaran; Vivek Eswaran; Keerthna Murali; Vishal Eswaran,2025,10.1201/9781003499459-3,Auerbach Publications eBooks,openalex
06c5f405d529,Quantum Computing For Health And Financial Decision-Making: Empowering Employees To Improve Life And Finance,Rasiah Bharathan,2025,10.2139/ssrn.5071354,SSRN Electronic Journal,openalex
dda6a6312022,Quantum Computing Meets Finance,Rachel Berkowitz,2025,10.1103/physics.18.154,Physics,openalex
ae6ef4dd0465,Quantum Computing and Algorithms in Financial Applications,Mohamed Ismail Mohamed Riyath; Nagham Aldabbous; Mohammed Jaboob; Mohammad Irfan,2025,10.4018/979-8-3373-2893-5.ch008,,openalex
9abc38e76aec,Quantum Computing and Its Implications for Theoretical and Applied Economics: From Shor’s Algorithm to Models of Uncertainty,Chris Aznaouridis; Ioannis Aznaouridis,2025,10.63711/ijdr.net20250401,International Journal of Digital Research,openalex
d429e0713a3d,Quantum Computing in Option Pricing,"Ewen, Tom",2025,10.26204/kluedo/9328,Publication Server of Kaiserslautern University of Technology (Kaiserslautern University of Technology),openalex
32f6aa86e556,Quantum Finance Optimization Qubits (QFOQ): An Approach to Accelerate Financial Model Testing,Mouhamad Abushaqra,2025,10.2139/ssrn.5007468,SSRN Electronic Journal,openalex
bb6213c444b0,Quantum Finance Unleashed,Nitesh Behare; Bhagyashri Sahebrao Patil; C. S. Yadav; Syed Muhammad Abdul Rehman Shah,2025,10.4018/979-8-3373-2893-5.ch001,,openalex
119578338c9e,Quantum Finance: Revolutionizing Financial Markets with Quantum Computing,Manzoor Ansari; Aashita Chhabra; Nabeela Hasan; Mansaf Alam,2025,10.1201/9781003482154-6,Auerbach Publications eBooks,openalex
778a06edc7f8,Quantum Interference Effects in Social Decision-Making,Qiang Sun,2025,10.6914/qss.010102,Quantum Social Science,openalex
ad79bfb0cfd8,Quantum Machine Learning for Secure Financial Forecasting: Mitigating Data Breaches and Adversarial Exploits,Olufisayo Juliana Tiwo,2025,10.9734/ajrcos/2025/v18i4613,Asian Journal of Research in Computer Science,openalex
13544c1e7414,Quantum Machine Learning for Stock Price Movement Prediction,Manoranjan Gandhudi; P. J. A. Alphonse; G. R. Gangadharan,2025,10.1007/978-981-95-2429-7_7,Uncertainty and operations research,openalex
a801ca3560e0,Quantum Machine Learning: An Application of Quantum Support Vector Machines for Financial Data Classification,Harsha Vardhan Kummara,2025,10.2139/ssrn.5172167,SSRN Electronic Journal,openalex
64bdec61d4fd,Quantum Portfolio Rebalancing Algorithm (QPRA): An Integrating Quantum Computing and AI for Dynamic Portfolio Optimization,Mouhamad Abushaqra,2025,10.2139/ssrn.5004146,SSRN Electronic Journal,openalex
9ecabb9df454,Quantum Risk Modeling: Theoretical Frameworks for Financial Uncertainty Quantification,Poojitha Appaneni,2025,10.26434/chemrxiv-2025-52tpl,,openalex
b4c593efacfa,Quantum Strategies in Finance,S. Ida Evangeline; Mohammad Zahid; Swati Gupta,2025,10.4018/979-8-3373-2893-5.ch012,,openalex
f9a4ea0df88e,Quantum Time-Energy Theory (QTET) & UTRER: AFFIDAVIT,"Machwaya, Destiny; ChatGPT as ""AI collaborator via OpenAI""",2025,10.5281/zenodo.17512580,Zenodo (CERN European Organization for Nuclear Research),openalex
292400fdfae6,Quantum algorithms for differential equations in finance and physics,"González Conde, Javier",2025,,Communities in ADDI (University of the Basque Country),openalex
76ee9fd77e4e,Quantum alternating operator ansatz with PSO optimizer for portfolio optimization problem,Wenjie Liu; Yue Ma; Yuchen Gu; Jiajun Cheng; Qingshan Wu,2025,10.1016/j.asoc.2025.113419,Applied Soft Computing,openalex
157054b518f8,Quantum computing research: An in-depth exploration,Natraj N.A.; Pethuru Raj C,2025,10.1016/bs.adcom.2025.02.005,Advances in computers,openalex
ddd77f0637f4,Quantum generative modeling for financial time series with temporal correlations,David Dechant; Eliot Schwander; Lucas van Drooge; Charles Moussa; Diego Garlaschelli; Vedran Dunjko; Jordi Tura,2025,,arXiv,arxiv
